prime, time
1703010, 1
1803010, 1
1903010, 1
2003010, 1
2103010, 1
2203010, 1
2303010, 1
2403010, 1
2503010, 1
2603010, 1
2703010, 2
2803010, 2
2903010, 2
3003010, 2
3103010, 2
3203010, 2
3303010, 2
3403010, 2
3503010, 2
3603010, 2
3703010, 2
3803010, 3
3703010, 2
3713010, 2
3723010, 3
1374010, 1
11374010, 19
21374010, 48
31374010, 84
41374010, 124
51374010, 169
61374010, 218
71374010, 280
81374010, 327
91374010, 387
101374010, 449
111374010, 513
121374010, 581
131374010, 650
121374010, 581
122374010, 588
