instance,nStressors,memoryErrorsCount
t2.2xlarge,1,0
t2.2xlarge,2,0
t2.2xlarge,3,6
t2.2xlarge,4,8
t2.2xlarge,5,10
t2.2xlarge,6,12
m4.large,1,2
m4.large,2,4
m4.large,3,6
m4.large,4,8
m4.large,5,10
m4.large,6,12
c5.xlarge,1,2
c5.xlarge,2,4
c5.xlarge,3,6
c5.xlarge,4,8
c5.xlarge,5,10
c5.xlarge,6,12
a1.large,1,0
a1.large,2,4
a1.large,3,6
a1.large,4,8
a1.large,5,10
a1.large,6,12
c5.2xlarge,1,0
c5.2xlarge,2,4
c5.2xlarge,3,6
c5.2xlarge,4,8
c5.2xlarge,5,10
c5.2xlarge,6,12
r5.large,1,0
r5.large,2,4
r5.large,3,6
r5.large,4,8
r5.large,5,10
r5.large,6,12
h1.2xlarge,1,0
h1.2xlarge,2,1
h1.2xlarge,3,6
h1.2xlarge,4,8
h1.2xlarge,5,10
h1.2xlarge,6,12
